TripID,LeaderID,LeaderCountry,LeaderCountryISO,LeaderR,LeaderSt,PriorityL,LeaderRo,LeaderTitle,LeaderSurname,LeaderFullName,Exiled,Country,RegionVi,SubRegic,Disputed,SemiAut,TripYear,TripStartDat,TripEndDate
751-AFG-PAK-84457,1671,Kuwait,AFG,Asia,Southern,No,GS,King,Najibullah,Najibullah Najibullah,0,Canada,America,North/South,Yes,Yes,2009,03/05/2009,07/09/2009
693-AFG-TJK-60295,200,Romania,AFG,Asia,Southern,Yes,S,Prime Minister,Mojadedi,Mojadedi Mojadedi,1,Portugal,Other,Other,No,No,1996,06/22/1996,10/06/1996
466-AFG-TJK-84157,1054,Netherlands,AFG,Asia,Southern,Yes,S,King,Rabbani,Rabbani Rabbani,1,Lebanon,Other,Other,Yes,No,1994,06/20/1994,09/29/1994
841-AFG-IRN-61531,1017,Singapore,AFG,Asia,Southern,No,De Facto,Emperor,Karzai,Karzai Karzai,0,Niger,Other,Other,No,Yes,2002,10/18/2002,12/11/2002
441-AFG-UZB-46399,1288,United States,AFG,Asia,Southern,Yes,S,President,Mojadedi,Mojadedi Mojadedi,0,Bahamas,Other,Other,Yes,No,1990,01/25/1990,06/25/1990
940-AFG-TJK-67421,1524,Paraguay,AFG,Asia,Southern,Yes,GS,Acting President,Rabbani,Rabbani Rabbani,0,Zambia,Other,Other,No,Yes,1999,06/13/1999,09/24/1999
897-AFG-SUN-92738,824,Dominican Republic,AFG,Asia,Southern,Yes,S,President,Rabbani,Rabbani Rabbani,1,Philippines,Other,Other,No,No,2002,03/12/2002,08/02/2002
918-AFG-PAK-99958,622,Belarus,AFG,Asia,Southern,Yes,De Facto,President,Karzai,Karzai Karzai,1,Netherlands,Other,Other,Yes,Yes,2016,05/28/2016,07/16/2016
914-AFG-IRN-94801,1951,Mauritius,AFG,Asia,Southern,No,GS,Emperor,Karzai,Karzai Karzai,0,Turkey,Other,Other,No,Yes,2018,02/07/2018,02/22/2018
365-AFG-IND-86229,1562,Georgia,AFG,Asia,Southern,No,GS,King,Karzai,Karzai Karzai,1,Iraq,Other,Other,Yes,No,2005,01/04/2005,02/12/2005
734-AFG-IND-55529,917,France,AFG,Asia,Southern,Yes,GS,King,Rabbani,Rabbani Rabbani,0,Mongolia,Other,Other,Yes,No,1997,07/02/1997,08/23/1997
195-AFG-UZB-93060,426,Portugal,AFG,Asia,Southern,No,De Facto,Chancellor,Karzai,Karzai Karzai,1,India,Asia,Southern,Yes,Yes,2000,05/12/2000,10/05/2000
748-AFG-IRN-70859,440,Thailand,AFG,Asia,Southern,No,De Facto,General Secretary,Rabbani,Rabbani Rabbani,0,France,Europe,Western,No,No,2013,04/23/2013,12/03/2013
964-AFG-IRN-35003,1137,Vietnam,AFG,Asia,Southern,Yes,S,Emperor,Rabbani,Rabbani Rabbani,0,Bolivia,Other,Other,No,Yes,1995,04/09/1995,10/30/1995
147-AFG-PAK-39760,1838,Norway,AFG,Asia,Southern,No,GS,Acting President,Mojadedi,Mojadedi Mojadedi,0,Slovenia,Other,Other,No,No,2020,07/21/2020,10/15/2020
178-AFG-TJK-73071,126,Mongolia,AFG,Asia,Southern,No,De Facto,Acting President,Najibullah,Najibullah Najibullah,0,Finland,Other,Other,Yes,Yes,2006,09/28/2006,10/30/2006
636-AFG-UZB-97404,200,Botswana,AFG,Asia,Southern,No,S,President,Najibullah,Najibullah Najibullah,1,Sweden,Other,Other,Yes,No,2018,02/06/2018,04/10/2018
149-AFG-IND-46141,449,Nepal,AFG,Asia,Southern,No,GS,Chancellor,Mojadedi,Mojadedi Mojadedi,1,Hungary,Other,Other,No,No,2021,03/11/2021,05/10/2021
454-AFG-IND-75999,870,Colombia,AFG,Asia,Southern,Yes,GS,Prime Minister,Rabbani,Rabbani Rabbani,1,Mauritius,Other,Other,Yes,Yes,2012,08/03/2012,10/12/2012
463-AFG-UZB-77670,1115,Uganda,AFG,Asia,Southern,Yes,GS,Chancellor,Karzai,Karzai Karzai,0,Tajikistan,Asia,Southern,Yes,Yes,2021,10/04/2021,12/30/2021
308-AFG-SUN-71685,862,Syria,AFG,Asia,Southern,No,S,King,Najibullah,Najibullah Najibullah,0,Uganda,Other,Other,No,No,2018,04/27/2018,06/04/2018
376-AFG-UZB-70411,943,Sri Lanka,AFG,Asia,Southern,Yes,S,General Secretary,Najibullah,Najibullah Najibullah,1,Lithuania,Other,Other,No,No,1991,02/11/1991,02/21/1991
338-AFG-SUN-91565,1196,Iceland,AFG,Asia,Southern,Yes,GS,President,Karzai,Karzai Karzai,0,Ecuador,Other,Other,No,Yes,1992,04/05/1992,05/23/1992
398-AFG-IRN-99860,694,Belgium,AFG,Asia,Southern,Yes,S,Emperor,Rabbani,Rabbani Rabbani,1,Mauritius,Other,Other,No,Yes,2006,03/30/2006,12/22/2006
136-AFG-UZB-37874,1533,Vietnam,AFG,Asia,Southern,Yes,GS,Prime Minister,Najibullah,Najibullah Najibullah,1,France,Europe,Western,No,No,2008,02/29/2008,06/26/2008
138-AFG-IRN-58033,1395,Norway,AFG,Asia,Southern,Yes,De Facto,Emperor,Karzai,Karzai Karzai,0,Lesotho,Other,Other,Yes,No,2011,04/13/2011,06/15/2011
360-AFG-IRN-39888,1428,Chad,AFG,Asia,Southern,Yes,S,Prime Minister,Mojadedi,Mojadedi Mojadedi,1,Namibia,Other,Other,No,Yes,2011,02/08/2011,04/23/2011
873-AFG-PAK-82396,993,Ukraine,AFG,Asia,Southern,No,S,General Secretary,Karzai,Karzai Karzai,1,Hungary,Other,Other,Yes,No,1997,02/28/1997,05/20/1997
825-AFG-IRN-89402,1286,Philippines,AFG,Asia,Southern,No,GS,General Secretary,Karzai,Karzai Karzai,0,Mongolia,Other,Other,Yes,No,2018,03/08/2018,08/30/2018
751-AFG-IRN-34991,1695,Belarus,AFG,Asia,Southern,Yes,S,President,Mojadedi,Mojadedi Mojadedi,0,Australia,Other,Other,No,Yes,2020,01/10/2020,02/29/2020
482-AFG-PAK-91418,1704,Angola,AFG,Asia,Southern,Yes,De Facto,Chancellor,Karzai,Karzai Karzai,0,Central African Republic,Other,Other,No,Yes,2019,03/11/2019,12/23/2019
365-AFG-TJK-79791,1074,Uruguay,AFG,Asia,Southern,Yes,GS,Acting President,Mojadedi,Mojadedi Mojadedi,1,Finland,Other,Other,No,No,2010,02/07/2010,02/20/2010
